IYEAR IDAY IHOUR MIN BXGSM BYGSM BZGSM VXGSE VYGSE VZGSE DEN  TEMP  SYMH    IMFFLAG   ISWFLAG TILT  Pdyn  W1   W2   W3   W4   W5   W6
2020   1  0 50    1.56   -1.19    0.53  -296.7     3.2     3.2   9.82   29083.   -1.0    1    1 -0.4761   1.68   0.00   0.00   0.00   0.00   0.00   0.00
2020   1  0 55   -0.11    0.04    0.06  -299.3     1.4     6.5   7.52   30049.   -1.0    1    1 -0.4793   1.31   0.00   0.00   0.00   0.00   0.00   0.00
2020   1  1  0   -0.07    0.22    0.19  -296.0     3.7     5.3   8.26   21884.   -1.0    1    1 -0.4825   1.40   0.00   0.00   0.00   0.00   0.00   0.00
2020   1  1  5    0.26    0.28    0.39  -296.0     6.9     6.2   8.84   20105.   -1.0    1    1 -0.4856   1.50   0.00   0.00   0.00   0.00   0.00   0.00
2020   1  1 10    1.60   -0.38    0.50  -296.4     3.9     7.8   9.68   21273.   -1.0    1    1 -0.4887   1.65   0.00   0.00   0.00   0.00   0.00   0.00
2020   1  1 15    2.68   -1.06    1.23  -302.1    -0.4     1.6   7.20   36821.   -1.0    1    1 -0.4918   1.27   0.00   0.00   0.00   0.00   0.00   0.00
2020   1  1 20    2.52   -0.87    1.48  -301.2     1.1    -0.3   7.27   40428.   -1.0    1    1 -0.4948   1.28   0.00   0.00   0.00   0.00   0.00   0.00
2020   1  1 25    2.77   -0.90    1.26  -297.0     9.0     0.7   8.56   40302.    0.0    1    1 -0.4978   1.46   0.00   0.00   0.00   0.00   0.00   0.00
2020   1  1 30    2.80   -0.57    1.13  -298.8     0.6     4.0   8.37   37572.    1.0    1    1 -0.5008   1.45   0.00   0.00   0.00   0.00   0.00   0.00
2020   1  1 35    3.11   -1.38    1.39  -299.1    -5.7     5.2   7.41   41972.    3.0    1    1 -0.5037   1.28   0.00   0.00   0.00   0.00   0.00   0.00
2020   1  1 40    3.73   -2.32    1.57  -301.2    -2.9     6.0   7.19   44098.    3.0    1    2 -0.5065   1.26   0.00   0.00   0.00   0.00   0.00   0.00
2020   1  1 45    3.99   -2.71    1.66  -303.4     0.0     6.8   6.97   46225.    2.0    1    2 -0.5093   1.24   0.00   0.00   0.00   0.00   0.00   0.00
2020   1  1 50    3.99   -2.73    1.72  -305.5     2.8     7.6   6.75   48351.    1.0    1    1 -0.5121   1.22   0.00   0.00   0.00   0.00   0.00   0.00
2020   1  1 55    4.01   -2.79    1.73  -305.4     2.0     7.9   6.60   47231.    0.0    1    2 -0.5148   1.19   0.00   0.00   0.00   0.00   0.00   0.00
